DATE,e_calcium,e_calories,e_carbs,e_cholesterol,e_fiber,e_protein,e_sat_fat,e_sodium,e_sugar,e_unsat_fat,m_active_time,m_calories,m_distance,m_inactive_time,m_lcat,m_lcit,m_steps,m_workout_count,m_workout_time,n_asleep_time,n_awake,n_awake_time,n_awakenings,n_bedtime,n_deep,n_duration,n_light,n_quality,n_rem,o_count,o_mood,s_asleep_time,s_awake,s_awake_time,s_awakenings,s_bedtime,s_deep,s_duration,s_light,s_quality,s_rem
20130306,265.6666660309,1311.7466878893,102.41333395244000,223.365000769457,21.953000235569000,73.796000495507,28.143400592558300,1670.2320027360500,48.406000226733000,27.047800540170000,8778.0,403.534000349,8086.0,39060.0,677.0,4740.0,12015.0,1.0,2700.0,71.0,1979.0,485.0,2.0,55.0,12198.0,24052.0,11854.0,77.0,,1.0,60.0,,,,,,,,,,
20130307,202.0,1330.5000133513,91.01900136470200,232.07500115781200,23.53500027656,74.523000031683,26.3642006833195,1391.5200024844,38.259000599381000,41.778001473850200,5197.0,185.841999851,6630.0,37980.0,680.0,2940.0,9820.0,0.0,0.0,,,,,,,,,,,1.0,50.0,60.0,1834.0,459.0,2.0,49.0,17053.0,22770.0,5717.0,87.0,
20130308,285.0,1174.8200054168,129.60666781664300,231.110000006855,22.53533343076,59.411333501304,27.9928003996651,910.15466463605,54.802000534541000,11.9900003001083,11263.0,386.690999664,9815.0,36480.0,1529.0,6480.0,14548.0,1.0,3600.0,82.0,1809.0,505.0,2.0,60.0,17023.0,24966.0,7943.0,89.0,,1.0,50.0,,,,,,,,,,
20130309,298.0,1365.367,57.955,200.5,19.477,104.061,42.744,1577.355,22.327000000000000,41.522,12116.0,689.782000068,8770.0,37740.0,1213.0,6240.0,12887.0,1.0,7260.0,,,,,,,,,,,1.0,50.0,127.0,744.0,461.0,0.0,116.0,12660.0,20160.0,7500.0,70.0,
20130310,184.0956487656,1452.7774372111000,97.25047850605000,226.5999984741,16.467238891125,79.709859669224,33.5973298042603,3011.21816826197,20.438619971280000,31.3592840075626,4937.0,181.841999359,6389.0,36420.0,677.0,4020.0,9350.0,0.0,0.0,,,,,,,,,,,1.0,60.0,119.0,1044.0,628.0,1.0,108.0,15606.0,26723.0,11117.0,88.0,
20130311,470.0,1465.4219875335,131.93300151819,291.5,34.692000305662,100.12599894411800,35.04319996945,1699.7300097940200,41.37900002005,17.509200252592,5109.0,184.43599955,6754.0,37440.0,589.0,4800.0,9881.0,0.0,0.0,,,,,,,,,,,1.0,50.0,,,,,,,,,,
20130312,451.0,1261.1009883883,121.10500097278,216.0,19.771000146867,60.69800060984,30.099000185724,1074.66499984264,52.98100066184,23.06250068546,11127.0,624.236000309,7754.0,32940.0,770.0,6600.0,11462.0,1.0,6300.0,,,,,,,,,,,2.0,120.0,109.0,5177.0,488.0,1.0,43.0,17160.0,21730.0,4570.0,83.0,
20130313,181.1666698455,1358.5343418123000,92.14000152051,157.6000003815,19.501000143587,90.32066977015900,30.953966751683,1097.06501376638,43.91100060939200,36.801033288239,7150.0,271.303999661,9811.0,33720.0,761.0,4800.0,14129.0,0.0,0.0,,,,,,,,,,,2.0,120.0,95.0,2488.0,459.0,0.0,64.0,15181.0,21960.0,6779.0,82.0,
20130314,406.2000007629,1235.1009979248000,77.32500043869,157.0,24.631000137330000,66.253000111579,30.401000064850000,2041.96500146391,30.12100008964,36.790000616546000,6046.0,234.31499942,8446.0,37980.0,756.0,4440.0,12003.0,0.0,0.0,,,,,,,,,,,2.0,120.0,142.0,2045.0,511.0,1.0,116.0,12151.0,21871.0,9720.0,72.0,
20130315,360.5000019073,1375.0009960169,101.71500177857000,430.4000091551,21.54100023508,68.95700133082600,30.616800235511,1367.06502511571,23.7490003395,44.33440107034,9753.0,336.978999346,8499.0,33660.0,1072.0,4920.0,12340.0,1.0,3600.0,,,,,,,,,,,2.0,120.0,88.0,4543.0,446.0,2.0,31.0,13245.0,20565.0,7320.0,71.0,
20130316,60.0,439.0,2.060000016689,327.0,0.280000001192,40.763999869811,10.017000030952100,525.60000002384,0.843999986649,16.0207997427279,13995.0,642.7111137890000,10842.0,35220.0,1619.0,9840.0,16167.0,1.0,6900.0,,,,,,,,,,,1.0,50.0,59.0,0.0,479.0,0.0,59.0,0.0,25200.0,0.0,0.0,
